ID,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q41_9,Q41_10,Q41_11,Q41_12,Q41_13,Q41_14,Q41_15,Q41_16,Q41_17,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7
33,Never,Never,Never,Occasionally,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,None,None,None,None,None,None,None
34,Occasionally,Rarely,Never,Occasionally,Rarely,Never,Rarely,Never,Occasionally,Occasionally,Occasionally,Never,Rarely,Often,Occasionally,Rarely,Never,None,None,A Little,None,None,A Little,A Little
35,Occasionally,Rarely,Rarely,Very Often,Often,Occasionally,Occasionally,Often,Very Often,Occasionally,Occasionally,Never,Never,Rarely,Rarely,Often,Occasionally,A Little,Some,A Little,A Little,Some,Some,Some
36,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Rarely,None,A Little,None,None,None,A Little,None
37,Occasionally,Rarely,Never,Often,Occasionally,Never,Rarely,Rarely,Never,Occasionally,Occasionally,Never,Never,Never,Often,Never,Never,A Little,None,None,None,A Little,A Little,None
38,Often,Rarely,Rarely,Rarely,Occasionally,Occasionally,Often,Never,Often,Occasionally,Rarely,Never,Never,Rarely,Very Often,Never,Never,A Little,None,None,None,None,A Little,A Little
39,Never,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Occasionally,Rarely,Never,Never,Never,Rarely,Never,Occasionally,None,None,None,None,None,None,None
40,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
41,Rarely,Rarely,Occasionally,Often,Often,Occasionally,Occasionally,Rarely,Occasionally,Often,Occasionally,Occasionally,Often,Rarely,Occasionally,Occasionally,Rarely,A Little,A Little,None,A Little,Some,Some,None
42,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,None,Some,None,None,A Little,None,None
43,Rarely,Occasionally,Never,Often,Often,Occasionally,Often,Occasionally,Very Often,Very Often,Very Often,Rarely,Never,Never,Occasionally,Occasionally,Never,None,A Little,A Little,None,A Little,Some,Some
44,Rarely,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Often,Rarely,Never,Never,Never,Never,Never,Never,None,None,A Little,None,None,A Little,None
45,Often,Occasionally,Occasionally,Often,Often,Never,Occasionally,Often,Often,Very Often,Often,Never,Never,Rarely,Often,Often,Occasionally,A Lot,None,Some,Some,A Lot,A Lot,None
46,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,A Little,None,A Little,A Little,A Little,A Little,A Little
47,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,A Little,None,None,A Little,A Little,None
48,Occasionally,Often,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,Occasionally,Often,Rarely,Rarely,Rarely,Rarely,Occasionally,Often,Occasionally,A Little,A Lot,A Little,A Little,A Little,A Little,Some
49,Often,Rarely,Never,Often,Occasionally,Never,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Often,Occasionally,Occasionally,Occasionally,Some,Some,Some,A Little,Some,Some,Some
50,Rarely,Rarely,Never,Occasionally,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Rarely,Never,Never,A Little,A Little,A Little,None,None,None,A Little
51,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
52,Rarely,Never,Never,Rarely,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Occasionally,Rarely,Never,None,None,A Little,None,A Little,A Little,A Little
53,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
54,Never,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Rarely,Rarely,Never,Rarely,None,None,None,None,None,None,None
55,Rarely,Never,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Never,Never,Rarely,Occasionally,Never,Never,A Little,A Little,A Little,A Little,A Little,A Little,A Little
56,Occasionally,Never,Never,Occasionally,Often,Occasionally,Never,Never,Often,Very Often,Often,Never,Rarely,Often,Often,Rarely,Never,A Little,A Lot,A Lot,None,A Lot,A Lot,Some
57,Rarely,Never,Never,Never,Often,Rarely,Never,Occasionally,Never,Rarely,Rarely,Never,Never,Rarely,Never,Never,Never,None,None,None,None,None,None,None
58,Occasionally,Rarely,Rarely,Occasionally,Often,Occasionally,Occasionally,Occasionally,Rarely,Very Often,Rarely,Rarely,Occasionally,Occasionally,Often,Often,Occasionally,A Little,A Lot,Some,A Little,A Lot,Some,A Little
59,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,A Little,A Little,A Little,A Little,A Little,A Little,A Little
60,Occasionally,Rarely,Rarely,Never,Never,Occasionally,Never,Never,Never,Often,Never,Never,Never,Never,Rarely,Never,Never,None,A Little,None,None,None,A Little,None
61,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
62,Rarely,Never,Never,Often,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Never,Never,None,None,None,None,None,None,None
63,Occasionally,Rarely,Rarely,Occasionally,Rarely,Occasionally,Rarely,Rarely,Often,Often,Rarely,Never,Never,Occasionally,Rarely,Never,Never,A Little,A Little,None,None,A Little,A Little,A Little
64,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Often,Often,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Never,None,None,A Little,None,None,None,None
65,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Rarely,Never,Never,None,A Little,None,None,A Little,A Little,None
66,Occasionally,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
67,Occasionally,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
68,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
69,Rarely,Occasionally,Rarely,Never,Rarely,Rarely,Never,Never,Never,Occasionally,Rarely,Never,Rarely,Occasionally,Rarely,Never,Never,None,A Little,None,None,A Little,A Little,None
70,Rarely,Rarely,Never,Never,Occasionally,Rarely,Never,Never,Rarely,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Never,Rarely,None,A Little,None,None,A Little,A Little,A Little
71,Rarely,Rarely,Rarely,Never,Often,Occasionally,Rarely,Never,Occasionally,Occasionally,Rarely,Never,Never,Rarely,Rarely,Never,Rarely,None,None,None,None,None,A Little,A Little
72,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
73,Often,Occasionally,Occasionally,Occasionally,Very Often,Rarely,Often,Occasionally,Very Often,Often,Often,Occasionally,Rarely,Often,Often,Very Often,Very Often,A Lot,Some,A Lot,A Little,Some,A Lot,Some
74,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Often,Rarely,Never,Rarely,Never,Rarely,Never,Never,None,None,None,None,None,None,None
75,Occasionally,Rarely,Rarely,Never,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Never,Rarely,Never,A Little,A Little,A Little,None,A Little,A Little,None
76,Rarely,Occasionally,Occasionally,Often,Often,Occasionally,Often,Occasionally,Often,Occasionally,Often,Often,Rarely,Rarely,Rarely,Often,Often,Some,Some,Some,None,Some,A Lot,Some
77,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
78,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Occasionally,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,None,None,None,None,None,None,None
79,Never,Occasionally,Rarely,Occasionally,Rarely,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,None,A Little,A Little,None,None,A Little,None
80,Never,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Occasionally,Never,Never,Never,Rarely,Never,Rarely,Never,None,None,None,None,None,None,None
81,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,A Little,A Little,A Little,None,A Little,A Little,None
82,Occasionally,Often,Often,Rarely,Often,Rarely,Rarely,Occasionally,Rarely,Very Often,Often,Often,Rarely,Never,Often,Often,Occasionally,A Little,A Little,None,None,A Little,A Little,None
83,Rarely,Occasionally,Never,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Very Often,Often,Occasionally,Rarely,Very Often,Occasionally,Occasionally,Never,Some,Some,A Lot,A Little,A Lot,A Lot,None
84,Rarely,Never,Never,Never,Rarely,Never,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Never,Rarely,Never,Rarely,Never,Occasionally,None,None,None,None,None,None,None
85,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Rarely,Never,Never,None,None,None,None,None,None,None
86,Often,Often,Often,Very Often,Very Often,Very Often,Very Often,Often,Very Often,Very Often,Very Often,Very Often,Often,Very Often,Very Often,Very Often,Occasionally,Some,Some,Some,Some,Some,Some,Some
87,Rarely,Never,Never,Rarely,Never,Rarely,Occasionally,Never,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Often,Occasionally,Occasionally,Rarely,A Little,A Little,A Little,None,A Little,A Little,A Little
88,Occasionally,Occasionally,Never,Never,Occasionally,Never,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Never,Occasionally,Rarely,Never,Never,None,None,None,None,None,None,None
89,Occasionally,Never,Never,Often,Often,Never,Never,Never,Often,Often,Occasionally,Never,Never,Never,Rarely,Never,Never,None,None,None,None,A Little,A Little,Some
90,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,None,None,None,None,None,None,None
91,Rarely,Rarely,Rarely,Never,Occasionally,Rarely,Never,Rarely,Rarely,Occasionally,Occasionally,Rarely,Never,Never,Never,Rarely,Occasionally,A Little,A Little,A Little,None,A Little,Some,None
92,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Often,Occasionally,Rarely,Never,Never,Often,Occasionally,Often,A Little,A Little,A Little,None,Some,Some,Some
93,Rarely,Often,Very Often,Often,Rarely,Never,Rarely,Occasionally,Often,Very Often,Often,Never,Never,Never,Very Often,Occasionally,Rarely,A Little,A Little,A Little,None,A Lot,A Lot,None
94,Never,Never,Never,Occasionally,Occasionally,Rarely,Never,Never,Never,Occasionally,Rarely,Never,Never,Occasionally,Rarely,Occasionally,Rarely,None,A Little,None,None,None,A Little,None
95,Rarely,Rarely,Rarely,Occasionally,Occasionally,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Rarely,Never,Occasionally,Rarely,None,None,A Little,None,A Little,A Little,Some
96,Occasionally,Rarely,Very Often,Occasionally,Very Often,Occasionally,Very Often,Rarely,Often,Occasionally,Often,Never,Never,Often,Occasionally,Occasionally,Rarely,A Little,A Little,Some,None,A Little,Some,Some
97,Rarely,Occasionally,Occasionally,Often,Rarely,Rarely,Rarely,Occasionally,Occasionally,Often,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Very Often,Never,A Little,Some,Some,A Lot,Some,A Little,A Little
98,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Never,Never,None,None,A Little,None,A Little,A Little,None
99,Rarely,Never,Rarely,Occasionally,Occasionally,Rarely,Never,Never,Rarely,Occasionally,Rarely,Never,Never,Rarely,Occasionally,Rarely,Never,None,A Little,None,None,A Little,A Little,A Little
100,Occasionally,Occasionally,Rarely,Often,Often,Occasionally,Often,Often,Often,Very Often,Very Often,Occasionally,Rarely,Often,Often,Occasionally,Never,Some,Some,Some,Some,Some,Some,Some
101,Rarely,Often,Rarely,Often,Often,Very Often,Rarely,Rarely,Occasionally,Often,Often,Rarely,Occasionally,Often,Often,Rarely,Occasionally,A Little,Some,A Little,None,Some,Some,A Little
102,Never,Never,Very Often,Very Often,Often,Never,Never,Never,Rarely,Very Often,Never,Never,Rarely,Never,Never,Rarely,Occasionally,None,A Little,None,None,Some,A Lot,A Little
103,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
104,Rarely,Occasionally,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,None,None,None,None,None,None,None
105,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
106,Often,Rarely,Never,Often,Occasionally,Never,Occasionally,Rarely,Occasionally,Often,Rarely,Rarely,Rarely,Occasionally,Often,Rarely,Occasionally,A Little,A Little,Some,None,A Little,A Little,A Little
107,Occasionally,Rarely,Never,Occasionally,Occasionally,Occasionally,Never,Never,Often,Often,Occasionally,Never,Never,Occasionally,Often,Rarely,Never,A Little,Some,Some,Some,Some,Some,Some
108,Never,Occasionally,Occasionally,Rarely,Often,Often,Rarely,Rarely,Never,Occasionally,Rarely,Rarely,Never,Occasionally,Occasionally,Occasionally,Rarely,Some,Some,None,None,A Little,None,A Little
109,Rarely,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Rarely,Never,Never,Never,None,None,None,None,None,None,None
110,Occasionally,Rarely,Never,Rarely,Often,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
111,Occasionally,Often,Rarely,Often,Often,Rarely,Occasionally,Rarely,Often,Very Often,Very Often,Occasionally,Often,Very Often,Very Often,Often,Often,Some,Some,A Lot,Some,Some,A Lot,Some
112,Rarely,Never,Never,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,A Little,A Little,None,None,A Little,A Little,None
113,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Never,None,None,None,None,None,None,None
114,Rarely,Rarely,Rarely,Occasionally,Rarely,Occasionally,Rarely,Never,Never,Very Often,Often,Occasionally,Rarely,Often,Often,Often,Occasionally,A Little,A Little,A Little,None,Some,Some,A Little
115,Rarely,Occasionally,Rarely,Often,Never,Never,Never,Rarely,Occasionally,Very Often,Occasionally,Rarely,Never,Rarely,Rarely,Rarely,Never,Some,Some,Some,None,A Little,A Little,A Little
116,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,A Little,A Little,A Little,A Little,A Little,A Little,A Little
117,Occasionally,Rarely,Never,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Never,None,None,A Little,A Little,A Little,A Little,A Little
118,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,A Little,A Little,A Little,A Little,A Little,A Little,A Little
119,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
120,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Occasionally,Rarely,Occasionally,Rarely,A Little,Some,None,None,A Little,None,None
121,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
122,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
123,Rarely,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,None,A Little,None,None,None,None,None
124,Occasionally,Often,Rarely,Occasionally,Very Often,Very Often,Occasionally,Often,Occasionally,Very Often,Very Often,Very Often,Rarely,Often,Occasionally,Very Often,Occasionally,Some,A Little,A Great Deal,A Little,A Lot,A Lot,Some
125,Rarely,Occasionally,Rarely,Rarely,Occasionally,Rarely,Never,Never,Never,Rarely,Occasionally,Never,Never,Occasionally,Rarely,Rarely,Rarely,None,A Little,A Little,None,A Little,A Little,None
126,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
127,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Occasionally,Never,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,None,None,None,None,None,None,None
128,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
129,Rarely,Occasionally,Never,Rarely,Occasionally,Occasionally,Often,Occasionally,Rarely,Rarely,Occasionally,Never,Never,Never,Never,Never,Never,A Little,Some,A Little,None,None,None,None
130,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Often,Rarely,Never,Never,Never,Rarely,Rarely,Never,None,None,None,None,None,None,None
131,Occasionally,Never,Occasionally,Occasionally,Occasionally,Rarely,Never,Never,Never,Often,Occasionally,Never,Never,Never,Never,Never,Never,A Little,A Little,A Little,None,Some,Some,None
132,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Occasionally,Rarely,Never,Rarely,Occasionally,Rarely,Rarely,Never,None,A Little,A Little,None,A Little,A Little,A Little
133,Occasionally,Rarely,Rarely,Occasionally,Never,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,Rarely,Occasionally,Rarely,Rarely,Rarely,A Little,A Little,None,None,A Little,Some,A Little
134,Never,Never,Rarely,Rarely,Occasionally,Never,Occasionally,Occasionally,Very Often,Often,Occasionally,Never,Never,Occasionally,Never,Often,Rarely,None,None,None,None,None,None,None
135,Rarely,Never,Never,Occasionally,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Never,Never,Rarely,Occasionally,Rarely,Never,None,None,None,None,A Little,None,None
136,Occasionally,Never,Never,Never,Occasionally,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Never,A Little,A Little,A Little,None,A Little,A Little,None
137,Occasionally,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,A Little,A Little,A Little,A Little,A Little,A Little,A Little
138,Occasionally,Occasionally,Never,Occasionally,Rarely,Never,Rarely,Never,Occasionally,Often,Occasionally,Never,Never,Never,Rarely,Rarely,Never,None,None,None,None,None,None,None
139,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Occasionally,Never,Never,Never,Rarely,Never,Never,Never,A Little,A Little,A Little,None,A Little,A Little,None
140,Rarely,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,A Little,A Little,A Little,None,A Little,A Little,A Little
141,Never,Rarely,Never,Occasionally,Occasionally,Rarely,Never,Rarely,Rarely,Very Often,Rarely,Never,Occasionally,Rarely,Rarely,Never,Never,A Little,A Little,None,None,A Little,A Little,None
142,Never,Rarely,Rarely,Never,Rarely,Never,Never,Never,Never,Often,Rarely,Never,Occasionally,Occasionally,Never,Rarely,Never,None,None,None,None,None,A Little,None
143,Occasionally,Rarely,Rarely,Never,Rarely,Never,Never,Never,Never,Often,Occasionally,Never,Never,Never,Rarely,Often,Never,None,None,A Little,None,A Little,A Little,None
144,Occasionally,Often,Occasionally,Often,Occasionally,Often,Occasionally,Occasionally,Occasionally,Often,Often,Often,Often,Often,Often,Often,Occasionally,Some,Some,Some,None,Some,A Lot,Some
145,Never,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Occasionally,Rarely,Never,Never,Never,Rarely,Never,Never,A Little,None,None,None,None,None,None
146,Rarely,Occasionally,Rarely,Occasionally,Often,Occasionally,Often,Rarely,Often,Often,Often,Rarely,Never,Rarely,Often,Occasionally,Rarely,A Little,A Little,None,None,A Little,A Little,Some
147,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,Rarely,Often,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Never,A Little,None,None,None,None,Some,A Little
148,Rarely,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Never,None,A Little,None,None,None,A Little,None
